inv_id,inv_nama, inv_awal 
0000411,PRESSURE GAUGE GMT 500MBAR, 20.00 
0000412,PRESSURE GAUGE WIPRO 10 KG DIA 4', 1.00 
0000413,PRESSURE GAUGE GMT 1000MMH20, 53.00 
0000414,PRESSURE GAUGE 2.5 KG AUSTRALIA, 1.00 
0000415,PRESSURE GAUGE 1000MMAQ, 1.00 
0000416,PIGTAIL HOSE BRIDGESTONE 1/4 X 100, 179.00 
0000417,"PIGTAIL HOSE BRIDGESTONE 1/4 X 1,5M ",
0000418,PIGTAIL HOSE MIC 1/4 X 100, 118.00 
0000419,PIGTAIL HOSE HWASEUNG 1/4 X 100, 1.00 
0000420,PIPA RIFENG,
0000421,"PIPA RIFENG UK.1"" AIR",
0000422,"PIPA RIFENG UK.1"" GAS",
0000423,PIGTAIL HOSE METAGOMA 1/4 X 100, 224.00 
0000424,PIGTAIL HOSE METAGOMA 1/2 X 1M,
0000425,pengunci regulator standart, 11.00 
0000426,PENGUNCI REGULATOR TEKNO, 25.00 
0000427,PENGUNCI REGULATOR CAJ, 8.00 
0000428,Pipa PVC 2', 9.00 
0000429,"PIPA PVC PUTIH WAVIN 3""", 3.00 
0000430,PIPA PVC PUTIH WAVIN 1',
0000431,REGULATOR WIN GAS + AMP / HP,
0000432,REDUCER BS 3/4 X 1/2, 27.00 
0000433,REDUCER BS 1 X 1/2, 26.00 
0000434,REDUCER BS 1 X 3/4, 32.00 
0000435,REDUCER BS 1 1/4 X 1/2, 31.00 
0000436,REDUCER BS 1 1/4 X 3/4, 33.00 
0000437,REDUCER BS 1 1/4 X 1, 27.00 
0000438,REDUCER BS 1 1/2 X 1/2, 23.00 
0000439,REDUCER BS 1 1/2 X 3/4, 21.00 
0000440,Reducer BS 2 1/2 X 1, 2.00 
0000441,Reducer BS 1 1/2 X 1, 2.00 
0000442,REGULATOR BIOGAS+AMP, 1.00 
0000443,REGULATOR BLUE GAS, 433.00 
0000444,REGULATOR INDOGAS, 16.00 
0000445,REGULATOR MIYAKO RM-100,
0000446,REGULATOR PENSONIC, 20.00 
0000447,REGULATOR NIS NI 0909 S/HP, 1.00 
0000448,REGULATOR NIS NI 0910 S, 7.00 
0000449,REGULATOR FISHER HSRL-CFS, 11.00 
0000450,REGULATOR FISHER 622H-DGJ, 10.00 
0000451,REGULATOR FISHER 64 & 67, 1.00 
0000452,REGULATOR FISHER 67CH-742, 1.00 
0000453,REGULATOR FISHER 67CH-751, 1.00 
0000454,REGULATOR FISHER R632-CFFXA, 1.00 
0000455,REGULATOR KATSURA KA-30 AF,
0000456,REGULATOR KATSURA KLS-5, 17.00 
0000457,REGULATOR WIN GAS TYPE DN 138M ,
0000458,REGULATOR WIN GAS SL 777 PLUS AMP, 6.00 
0000459,REGULATOR WIN GAS W118M+AMP, 46.00 
0000460,REGULATOR WIN GAS W118NM NO AMP, 55.00 
0000461,REGULATOR TEKVA + AMP W28 12KG,
0000462,REGULATOR TEKVA +AMP T108 2KG, 3.00 
0000463,REGULATOR NIS NI-0107-S, 144.00 
0000464,REGULATOR HWAYOUNG, 20.00 
0000465,Regulator + selang miyako, 9.00 
0000466,Regulator + selang quantum , 42.00 
0000467,Regulator + selang wingas, 19.00 
0000468,Regulator + selang inti gas, 4.00 
0000469,REGULATOR WIN GAS NO AMP / HP, 43.00 
0000470,REGULATOR WIN GAS HP NO AMP W181M , 54.00 
0000471,REGULATOR COMAP 10KG / HP APR85R, 29.00 
0000472,REGULATOR COMAP 24KG / HP APZ 120, 25.00 
0000473,REGULATOR COMAP 70KG / HP AP40R, 30.00 
0000474,REGULATOR COMAP 200KG / HP APS1000R, 15.00 
0000475,REGULATOR LUCKY FLAME AUTOMATIC / HP, 8.00 
0000476,REGULATOR LUCKY FLAME STD / HP, 1.00 
0000477,REGULATOR MEYERS / HP, 8.00 
0000478,REGULATOR REGO FB 597 / HP, 28.00 
0000479,REGULATOR REGO 250KG / HP,
0000480,REGULATOR HWA YOUNG 100KG HP,
0000481,REGULATOR KOPLING ARAH SAMPING, 131.00 
0000482,REGULATOR KOPLING ARAH DEPAN, 13.00 
0000483,REDUCER KUNINGAN 3/4 X 1/2, 145.00 
0000484,REDUCER KUNINGAN 1 X 1/2, 14.00 
0000485,REGULATOR WIN GAS PLUS AMP/ LP W199NM, 4.00 
0000486,REGULATOR QUANTUM + AMP LP, 14.00 
0000487,Regulator LP GOLDEN GAS + AMP , 30.00 
0000488,REGULATOR WIN GAS NO AMP/ LP W199NM, 5.00 
0000489,REGULATOR QUANTUM NO AMP LP, 10.00 
0000490,REGULATOR COMAP 4KG  / LP BP1803, 8.00 
0000491,REGULATOR COMAP 10KG / LP BP2205, 38.00 
